series,n_events,n_markets,markets_live,markets_hist,ok,empty,not_found,error,candles,first_candle,last_candle,discovery_complete,merge_conflicts
KXWTI,838,12348,1583,10873,9237,3111,0,0,8892333,2022-09-09T14:00:00+00:00,2026-09-10T08:57:49+00:00,True,0
KXWTIDIRY,1,11,11,0,11,0,0,0,92478,2026-05-30T14:00:00+00:00,2026-09-10T10:01:34+00:00,True,0
KXWTIE,1,15,0,15,4,11,0,0,10,2024-10-31T14:00:00+00:00,2024-11-06T19:30:00+00:00,True,0
KXWTIEU,1,1,0,1,1,0,0,0,15,2024-11-04T13:00:00+00:00,2024-11-06T19:30:00+00:00,True,0
KXWTIMAX,7,135,115,22,134,1,0,0,1070153,2023-01-20T15:00:00+00:00,2026-09-10T10:03:05+00:00,True,0
KXWTIMAXM,1,14,14,14,14,0,0,0,30074,2026-06-24T00:59:00+00:00,2026-06-30T18:30:00+00:00,True,0
KXWTIMIN,7,83,68,15,83,0,0,0,436785,2023-01-20T15:00:00+00:00,2026-09-10T10:12:48+00:00,True,0
KXWTIMINM,3,31,14,31,31,0,0,0,107739,2026-04-08T14:00:00+00:00,2026-06-30T18:30:00+00:00,True,0
KXWTIVSBRENT,1,2,2,0,2,0,0,0,19840,2026-05-19T20:00:00+00:00,2026-09-10T10:20:54+00:00,True,0
KXWTIW,201,3119,891,2258,2679,440,0,0,2311548,2022-09-26T20:30:00+00:00,2026-09-10T10:21:16+00:00,True,0
KXWTIWHEN,2,17,17,1,17,0,0,0,76994,2026-06-23T22:30:00+00:00,2026-09-10T10:47:39+00:00,True,0
KXBRENTD,97,2503,970,1623,2494,9,0,0,2660847,2026-03-20T23:21:00+00:00,2026-09-10T10:48:34+00:00,True,0
KXBRENTMON,6,150,90,60,150,0,0,0,1316932,2026-04-01T18:22:00+00:00,2026-09-10T11:00:41+00:00,True,0
KXBRENTW,24,520,190,350,520,0,0,0,1316294,2026-03-23T16:24:00+00:00,2026-09-04T21:00:00+00:00,True,0
KXBOEGOLD,1,1,0,1,1,0,0,0,1677,2025-03-19T14:00:00+00:00,2025-05-01T14:00:00+00:00,True,0
KXBTCVSGOLD,2,3,1,2,3,0,0,0,105837,2025-08-13T20:45:00+00:00,2026-09-10T11:10:45+00:00,True,0
KXDXYVSGOLD,1,2,2,0,2,0,0,0,51536,2026-05-29T01:00:00+00:00,2026-09-10T11:11:25+00:00,True,0
KXGOLD,19,95,0,95,95,0,0,0,10875,2022-09-09T14:00:00+00:00,2022-10-06T20:00:00+00:00,True,0
KXGOLDD,95,3873,1580,2453,3873,0,0,0,3882597,2026-03-23T16:12:00+00:00,2026-09-10T11:12:11+00:00,True,0
KXGOLDDIRY,1,13,13,0,13,0,0,0,230859,2026-05-30T14:00:00+00:00,2026-09-10T11:31:42+00:00,True,0
KXGOLDMON,8,330,130,200,330,0,0,0,2328764,2026-02-10T15:00:00+00:00,2026-09-10T11:33:23+00:00,True,0
KXGOLDVSSILVER,1,2,2,0,2,0,0,0,48115,2026-06-01T23:00:00+00:00,2026-09-10T11:43:50+00:00,True,0
KXGOLDW,26,1050,360,730,1050,0,0,0,2568873,2026-03-06T22:00:00+00:00,2026-09-04T21:00:00+00:00,True,0
KXINXVSGOLD,1,2,2,0,2,0,0,0,16911,2026-05-19T00:00:00+00:00,2026-09-10T11:56:23+00:00,True,0
KXRHGOLD,8,47,5,42,42,5,0,0,68079,2024-05-01T12:00:00+00:00,2025-10-31T20:00:00+00:00,True,0
KXNATGASD,92,7762,3170,4972,7736,26,0,0,5094817,2026-03-27T23:28:00+00:00,2026-09-10T12:01:08+00:00,True,0
KXNATGASMON,6,240,120,120,240,0,0,0,740995,2026-04-01T18:22:00+00:00,2026-09-10T12:38:20+00:00,True,0
KXNATGASW,22,949,379,610,949,0,0,0,1037258,2026-03-27T23:54:00+00:00,2026-09-04T21:00:00+00:00,True,0
KXSILVERD,95,3911,1578,2493,3911,0,0,0,3894687,2026-03-23T16:12:00+00:00,2026-09-10T12:56:59+00:00,True,0
KXSILVERMON,7,280,120,160,280,0,0,0,2185738,2026-03-05T07:31:00+00:00,2026-09-10T13:16:42+00:00,True,0
KXSILVERW,26,1050,360,730,1050,0,0,0,2037228,2026-03-06T22:00:00+00:00,2026-09-04T21:00:00+00:00,True,0
KXCOPPERD,94,4378,1888,2650,4378,0,0,0,2558031,2026-03-23T16:12:00+00:00,2026-09-10T13:39:18+00:00,True,0
KXCOPPERMON,7,290,130,160,290,0,0,0,1133970,2026-03-05T07:31:00+00:00,2026-09-10T14:00:50+00:00,True,0
KXCOPPERW,20,870,400,510,870,0,0,0,1884856,2026-04-17T22:20:00+00:00,2026-09-04T21:00:00+00:00,True,0
KXAAAEVM,1,11,11,0,11,0,0,0,1238,2026-08-14T00:00:00+00:00,2026-08-31T03:59:00+00:00,True,0
KXAAAGASD,194,3057,1251,1919,3055,2,0,0,682814,2023-09-15T17:00:00+00:00,2026-09-10T14:20:31+00:00,True,0
KXAAAGASDAZ,2,34,34,0,34,0,0,0,5339,2026-09-09T12:00:00+00:00,2026-09-10T14:33:15+00:00,True,0
KXAAAGASDCA,17,309,309,0,309,0,0,0,55150,2026-08-25T12:00:00+00:00,2026-09-10T14:33:24+00:00,True,0
KXAAAGASDFL,17,376,376,0,376,0,0,0,78378,2026-08-25T12:00:00+00:00,2026-09-10T14:34:42+00:00,True,0
KXAAAGASDGA,10,182,182,0,182,0,0,0,41866,2026-09-01T12:00:00+00:00,2026-09-10T14:36:21+00:00,True,0
KXAAAGASDIL,17,309,309,0,309,0,0,0,65865,2026-08-25T12:00:00+00:00,2026-09-10T14:37:06+00:00,True,0
KXAAAGASDMA,2,34,34,0,34,0,0,0,4896,2026-09-09T12:00:00+00:00,2026-09-10T14:38:25+00:00,True,0
KXAAAGASDMI,2,34,34,0,34,0,0,0,4605,2026-09-09T12:00:00+00:00,2026-09-10T14:38:34+00:00,True,0
KXAAAGASDNC,10,180,180,0,180,0,0,0,36864,2026-09-01T12:00:00+00:00,2026-09-10T14:38:44+00:00,True,0
KXAAAGASDNJ,17,326,326,0,326,0,0,0,51470,2026-08-25T12:00:00+00:00,2026-09-10T14:39:28+00:00,True,0
KXAAAGASDNY,17,289,289,0,289,0,0,0,37456,2026-08-25T12:00:00+00:00,2026-09-10T14:40:52+00:00,True,0
KXAAAGASDOH,10,270,270,0,270,0,0,0,58356,2026-09-01T12:00:00+00:00,2026-09-10T14:42:06+00:00,True,0
KXAAAGASDPA,10,210,210,0,210,0,0,0,36682,2026-09-01T12:00:00+00:00,2026-09-10T14:43:16+00:00,True,0
KXAAAGASDTN,2,44,44,0,44,0,0,0,7848,2026-09-09T12:00:00+00:00,2026-09-10T14:44:08+00:00,True,0
KXAAAGASDTX,19,373,373,0,373,0,0,0,68928,2026-08-23T12:00:00+00:00,2026-09-10T14:44:21+00:00,True,0
KXAAAGASDVA,2,44,44,0,44,0,0,0,5387,2026-09-09T12:00:00+00:00,2026-09-10T14:45:55+00:00,True,0
KXAAAGASDWA,10,174,174,0,174,0,0,0,44876,2026-09-01T12:00:00+00:00,2026-09-10T14:46:07+00:00,True,0
KXAAAGASED,1,11,11,0,11,0,0,0,98555,2026-03-24T14:00:00+00:00,2026-09-10T14:46:51+00:00,True,0
KXAAAGASM,37,470,125,345,451,19,0,0,1545017,2023-12-01T15:10:00+00:00,2026-09-10T14:49:08+00:00,True,0
KXAAAGASMAX,3,20,13,7,19,1,0,0,214624,2023-09-18T15:00:00+00:00,2026-09-10T15:03:17+00:00,True,0
KXAAAGASMAXCA,4,33,10,23,33,0,0,0,272406,2023-09-18T15:00:00+00:00,2026-09-10T15:07:31+00:00,True,0
KXAAAGASMAXFL,2,19,7,12,19,0,0,0,78912,2025-11-06T15:00:00+00:00,2026-09-10T15:11:39+00:00,True,0
KXAAAGASMAXM,1,9,9,0,9,0,0,0,12908,2026-09-01T04:00:00+00:00,2026-09-10T15:13:45+00:00,True,0
KXAAAGASMAXTX,4,27,10,17,27,0,0,0,223577,2023-09-18T15:00:00+00:00,2026-09-10T15:13:52+00:00,True,0
KXAAAGASMIN,4,15,10,6,13,2,0,0,78612,2023-09-18T15:00:00+00:00,2026-09-10T15:18:25+00:00,True,0
KXAAAGASMINCA,4,12,4,8,12,0,0,0,226571,2023-09-18T15:00:00+00:00,2026-09-10T15:22:10+00:00,True,0
KXAAAGASMINFL,2,7,4,3,7,0,0,0,95651,2025-11-06T15:00:00+00:00,2026-09-10T15:25:33+00:00,True,0
KXAAAGASMINM,1,9,9,0,9,0,0,0,10498,2026-09-01T04:00:00+00:00,2026-09-10T15:26:53+00:00,True,0
KXAAAGASMINTX,4,13,6,7,13,0,0,0,184594,2023-09-18T15:00:00+00:00,2026-09-10T15:27:02+00:00,True,0
KXAAAGASW,136,927,323,622,906,21,0,0,1171423,2023-10-03T14:00:00+00:00,2026-09-10T15:31:08+00:00,True,0
KXAAAGASWNJ,3,74,74,0,74,0,0,0,42393,2026-08-24T16:45:00+00:00,2026-09-10T15:38:26+00:00,True,0
KXAKCRUDEOIL,1,1,1,0,1,0,0,0,3741,2026-08-19T03:30:00+00:00,2026-09-10T15:38:59+00:00,True,0
KXAKPFD,1,5,5,0,5,0,0,0,28663,2026-08-19T03:30:00+00:00,2026-09-10T15:39:02+00:00,True,0
KXB65,3,33,33,0,33,0,0,0,18122,2026-07-08T17:19:00+00:00,2026-09-10T15:39:10+00:00,True,0
KXB85,3,33,33,0,33,0,0,0,14890,2026-07-08T17:19:00+00:00,2026-09-10T15:41:23+00:00,True,0
KXBARRELS,2,11,4,7,11,0,0,0,102759,2025-03-19T14:00:00+00:00,2026-09-10T15:43:37+00:00,True,0
KXCHINAOILINV,1,5,5,0,5,0,0,0,775,2026-08-28T23:30:00+00:00,2026-09-10T15:46:18+00:00,True,0
KXCOCOAMON,1,24,0,24,24,0,0,0,81744,2026-04-01T18:22:00+00:00,2026-04-30T21:00:00+00:00,True,0
KXCOCOAW,4,90,0,90,90,0,0,0,101407,2026-04-03T21:00:00+00:00,2026-05-01T16:30:00+00:00,True,0
KXCOFFEEMON,1,20,0,20,20,0,0,0,104835,2026-04-01T18:22:00+00:00,2026-04-30T21:00:00+00:00,True,0
KXCOFFEEW,4,126,0,126,126,0,0,0,130234,2026-04-03T21:00:00+00:00,2026-05-01T17:30:00+00:00,True,0
KXCORNMON,1,24,0,24,24,0,0,0,125809,2026-04-01T18:22:00+00:00,2026-04-30T21:00:00+00:00,True,0
KXCORNW,4,140,0,140,140,0,0,0,172571,2026-04-03T21:00:00+00:00,2026-05-01T18:20:00+00:00,True,0
KXDIESEL,7,26,0,26,26,0,0,0,701,2022-10-20T14:00:00+00:00,2022-12-12T21:59:00+00:00,True,0
KXDIESELD,40,894,894,0,894,0,0,0,181740,2026-08-02T16:48:00+00:00,2026-09-10T15:52:13+00:00,True,0
KXDIESELELECT,1,15,15,0,15,0,0,0,34352,2026-09-04T19:00:00+00:00,2026-09-10T15:55:57+00:00,True,0
KXDIESELM,1,10,0,10,10,0,0,0,722,2022-10-20T14:00:00+00:00,2022-11-28T21:59:00+00:00,True,0
KXDIESELMAXY,1,12,12,0,12,0,0,0,24876,2026-09-04T19:00:00+00:00,2026-09-10T15:56:35+00:00,True,0
KXDIESELMINY,1,12,12,0,12,0,0,0,21770,2026-09-04T19:00:00+00:00,2026-09-10T15:56:42+00:00,True,0
KXDIESELMON,2,52,52,0,52,0,0,0,104750,2026-08-01T15:16:00+00:00,2026-09-10T15:56:49+00:00,True,0
KXDIESELW,6,197,197,0,176,21,0,0,186121,2026-08-02T16:47:00+00:00,2026-09-10T15:58:06+00:00,True,0
KXDIESELYE,1,19,19,0,19,0,0,0,37536,2026-09-04T19:00:00+00:00,2026-09-10T15:59:32+00:00,True,0
KXDOESPRTENDER,1,3,3,0,3,0,0,0,2607,2026-08-24T21:00:00+00:00,2026-09-10T15:59:42+00:00,True,0
KXEIACRUDEW,2,26,26,0,26,0,0,0,2920,2026-08-26T14:30:00+00:00,2026-09-10T15:55:00+00:00,True,0
KXGBT55OY,1,4,4,0,4,0,0,0,11088,2026-06-08T19:00:00+00:00,2026-09-10T16:00:07+00:00,True,0
KXGEMINI35OY,1,4,4,0,4,0,0,0,6940,2026-06-08T19:00:00+00:00,2026-09-10T16:00:36+00:00,True,0
KXGEMINI35Y,1,4,4,0,4,0,0,0,3620,2026-06-04T19:30:00+00:00,2026-09-10T16:01:03+00:00,True,0
KXGPT55Y,1,4,4,0,4,0,0,0,3466,2026-06-04T17:30:00+00:00,2026-09-10T16:01:35+00:00,True,0
KXHOILMON,1,20,0,20,20,0,0,0,60852,2026-04-07T02:20:00+00:00,2026-04-30T21:00:00+00:00,True,0
KXHOILW,4,110,0,110,110,0,0,0,105710,2026-04-07T02:19:00+00:00,2026-05-01T21:00:00+00:00,True,0
KXIACORN,1,1,1,0,1,0,0,0,7652,2026-08-18T22:00:00+00:00,2026-09-10T16:03:31+00:00,True,0
KXIAETHANOL,1,8,8,0,8,0,0,0,14852,2026-08-18T23:00:00+00:00,2026-09-10T16:03:33+00:00,True,0
KXIEAOIL,1,1,0,1,1,0,0,0,12,2026-03-11T06:00:00+00:00,2026-03-11T14:34:45+00:00,True,0
KXILNUCLEAR,1,7,7,0,7,0,0,0,36333,2026-08-19T00:00:00+00:00,2026-09-10T16:03:50+00:00,True,0
